,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,35.7056172,139.5769351,Nike,Mode
1,1,Indonesia,Jakarta,34540000.0,-6.2656348,106.7830542,Nike,Mode
2,2,India,Delhi,29617000.0,28.5573461,77.163798,Nike,Mode
3,3,India,Mumbai,23355000.0,19.1362681,72.8296148,Nike,Mode
4,4,Philippines,Manila,23088000.0,14.6520224,121.0755371,Nike,Mode
5,5,China,Shanghai,22120000.0,31.2363921,121.4705843,Nike,Mode
6,6,Brazil,São Paulo,22046000.0,-23.4200566,-47.163394579447306,Nike,Mode
7,7,"Korea, South",Seoul,21794000.0,37.502298,127.0259218,Nike,Mode
8,8,Mexico,Mexico City,20996000.0,19.438915,-99.2010688,Nike,Mode
9,9,China,Guangzhou,20902000.0,23.1281183,113.2637371,Nike,Mode
10,10,China,Beijing,19433000.0,39.7853191,116.3196691,Nike,Mode
11,11,Egypt,Cairo,19372000.0,30.0587324,31.2214644,Nike,Mode
12,12,United States,New York,18713220.0,40.6230394,-73.63827,Nike,Mode
13,13,India,Kolkāta,17560000.0,22.5618943,88.3511411,Nike,Mode
14,14,Russia,Moscow,17125000.0,55.771065,37.6201165,Nike,Mode
15,15,Thailand,Bangkok,17066000.0,13.9175416,100.6013761,Nike,Mode
16,16,Argentina,Buenos Aires,16157000.0,-34.6187238,-58.43791534229638,Nike,Mode
17,17,China,Shenzhen,15929000.0,22.6259715,114.0198503,Nike,Mode
18,18,Bangladesh,Dhaka,15443000.0,52.2102232,20.9130671,Nike,Mode
19,19,Nigeria,Lagos,15279000.0,6.4315265,3.481844656830685,Nike,Mode
20,20,Turkey,Istanbul,15154000.0,41.0143495,28.9675463,Nike,Mode
21,21,Japan,Ōsaka,14977000.0,34.672071,135.5006127,Nike,Mode
22,22,Pakistan,Karachi,14835000.0,24.8139919,67.0277322,Nike,Mode
23,23,India,Bangalore,13707000.0,13.0293655,77.570961,Nike,Mode
24,24,Iran,Tehran,13633000.0,31.9857022,34.767562,Nike,Mode
25,25,Vietnam,Ho Chi Minh City,13312000.0,10.7699376,106.6913455,Nike,Mode
26,26,United States,Los Angeles,12750807.0,34.1459389,-118.1513107,Nike,Mode
27,27,Brazil,Rio de Janeiro,12272000.0,-22.5195529,-44.0038759,Nike,Mode
28,28,China,Baoding,11860000.0,38.8668576,115.4919648,Nike,Mode
29,29,India,Chennai,11324000.0,52.2102232,20.9130671,Nike,Mode
30,30,China,Chengdu,11309000.0,30.6550104,104.0814439,Nike,Mode
31,31,Pakistan,Lahore,11021000.0,52.2102232,20.9130671,Nike,Mode
32,32,France,Paris,11020000.0,48.86126265,2.347509766277338,Nike,Mode
33,33,United Kingdom,London,10979000.0,51.5077603,-0.2205688,Nike,Mode
34,34,China,Tianjin,10800000.0,39.1609814,117.3930522,Nike,Mode
35,35,Peru,Lima,9848000.0,-12.0771769,-77.0829793,Nike,Mode
36,36,India,Hyderābād,9746000.0,17.4340349,78.4038158,Nike,Mode
37,37,Colombia,Bogotá,9464000.0,4.69747865,-74.044970068726,Nike,Mode
38,38,China,Weifang,9373000.0,36.7099294,119.1060122,Nike,Mode
39,39,Japan,Nagoya,9113000.0,35.1680638,136.9073265,Nike,Mode
40,40,China,Wuhan,8962000.0,30.5085295,114.2019372,Nike,Mode
41,41,China,Heze,8750000.0,34.7904419,116.0789592,Nike,Mode
42,42,United States,Chicago,8604203.0,41.9116924,-87.677657,Nike,Mode
43,43,Angola,Luanda,8417000.0,-8.811142449999998,13.256051153629706,Nike,Mode
44,44,Malaysia,Kuala Lumpur,8285000.0,52.2102232,20.9130671,Nike,Mode
45,45,China,Dongguan,7981000.0,38.8668576,115.4919648,Nike,Mode
46,46,China,Jinan,7967400.0,36.6538475,116.9679758,Nike,Mode
47,47,Vietnam,Hanoi,7785000.0,21.00241975,105.81576440366882,Nike,Mode
48,48,India,Pune,7764000.0,52.2102232,20.9130671,Nike,Mode
49,49,China,Chongqing,7739000.0,43.8891926,125.314691,Nike,Mode
50,50,China,Changchun,7674439.0,43.8891926,125.314691,Nike,Mode
