,Unnamed: 0,Country,City,Population,Latitude,Longitude,Company,Type
0,0,Japan,Tokyo,37977000.0,43.6534558,-79.3803811,Sephora,Cosmetic
1,1,China,Shanghai,22120000.0,31.2366642,121.4714425,Sephora,Cosmetic
2,2,Brazil,São Paulo,22046000.0,-21.2114105,-47.8170195,Sephora,Cosmetic
3,3,Mexico,Mexico City,20996000.0,19.4389697,-99.203291,Sephora,Cosmetic
4,4,Egypt,Cairo,19372000.0,29.9922868,31.50490150402916,Sephora,Cosmetic
5,5,United States,New York,18713220.0,40.7568751,-73.9858307,Sephora,Cosmetic
6,6,Russia,Moscow,17125000.0,55.7966092,37.5422805,Sephora,Cosmetic
7,7,Argentina,Buenos Aires,16157000.0,45.4801846,9.2105684,Sephora,Cosmetic
8,8,Nigeria,Lagos,15279000.0,47.6376199,6.858364361333332,Sephora,Cosmetic
9,9,Turkey,Istanbul,15154000.0,41.0348523,28.9800313,Sephora,Cosmetic
10,10,Congo (Kinshasa),Kinshasa,13528000.0,-4.0548353,15.5584747,Sephora,Cosmetic
